,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0
0,5414,5586,5752,5882,6012,6024,6249,6245,6273,6413,6604,6672,6763,6875,6938,7053,7075,7191,7231,7427,7461,7681,7687,7850,7700,7606,6886
1,166,172,172,165,167,179,181,183,178,182,187,193,185,179,209,220,222,214,224,238,248,241,307,219,274,268,236
2,17,18,13,15,11,19,12,24,28,12,11,20,21,17,11,16,13,20,24,15,19,18,19,30,19,17,19
3,6,4,5,3,9,1,5,3,8,9,5,4,6,8,4,3,3,6,7,9,7,9,5,6,11,6,6
4,7,5,3,5,3,9,1,4,2,6,6,3,5,6,6,4,1,4,4,6,8,9,8,5,3,11,5
5,25,25,29,27,27,31,34,36,33,36,42,46,49,45,50,46,44,42,38,40,44,50,50,50,52,57,59
C,6024,6315,6596,6886,7125,7429,7696,7955,8234,8550,8838,9097,9332,9632,9889,10134,10358,10615,10885,11162,11444,11729,11995,12277,12531,12797,12974
X,2796,2825,2891,2954,3019,3071,3013,3148,3289,3399,3410,3524,3670,3732,3825,3867,4009,3998,4081,4121,4242,4162,4203,4207,4281,4201,4487
